CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats
COF,Capital One Financial,Financials,Consumer Finance
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors
HSIC,Henry Schein,Health Care,Health Care Distributors
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores
CCL,Carnival Corp.,Consumer Discretionary,Hotels Resorts & Cruise Lines
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks
CBG,CBRE Group,Real Estate,Real Estate Services
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV
CELG,Celgene Corp.,Health Care,Biotechnology
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,MultiUtilities
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services
CERN,Cerner,Health Care,Health Care Distributors
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas
CVX,Chevron Corp.,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,Chubb Limited,Financials,Property & Casualty Insurance
CHD,Church & Dwight,Consumer Staples,Household Products
CI,CIGNA Corp.,Health Care,Managed Health Care
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,Cintas Corporation,Industrials,Diversified Support Services
CSCO,Cisco Systems,Information Technology,Networking Equipment
C,Citigroup Inc.,Financials,Banks
CFG,Citizens Financial Group,Financials,Banks
CTXS,Citrix Systems,Information Technology,Internet Software & Services
CLX,The Clorox Company,Consumer Staples,Household Products
CME,CME Group Inc.,Financials,Financial Exchanges & Data
CMS,CMS Energy,Utilities,MultiUtilities
COH,Coach Inc.,Consumer Discretionary,Apparel Accessories & Luxury Goods
KO,Coca Cola Company,Consumer Staples,Soft Drinks
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services
CL,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,Comcast A Corp,Consumer Discretionary,Cable & Satellite
CMA,Comerica Inc.,Financials,Regional Banks
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison,Utilities,Electric Utilities
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
GLW,Corning Inc.,Industrials,Construction & Engineering
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers
COTY,Coty Inc,Consumer Staples,Personal Products
CCI,Crown Castle International Corp.,Real Estate,REITs
CSRA,CSRA Inc.,Information Technology,IT Consulting & Other Services
CSX,CSX Corp.,Industrials,Railroads
CMI,Cummins Inc.,Industrials,Industrial Machinery
CVS,CVS Health,Consumer Staples,Drug Retail
DHI,D. R. Horton,Consumer Discretionary,Homebuilding
DHR,Danaher Corp.,Industrials,Industrial Machinery
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DVA,DaVita Inc.,Health Care,Health Care Facilities
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment
DAL,Delta Air Lines,Industrials,Airlines
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty Trust,Real Estate,Specialized REITs
DFS,Discover Financial Services,Financials,Consumer Finance
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite
DG,Dollar General,Consumer Discretionary,General Merchandise Stores
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores
D,Dominion Resources,Utilities,Electric Utilities
DOV,Dover Corp.,Industrials,Industrial Machinery
DOW,Dow Chemical,Materials,Diversified Chemicals
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks
DTE,DTE Energy Co.,Utilities,MultiUtilities
DD,Du Pont (E.I.),Materials,Diversified Chemicals
DUK,Duke Energy,Utilities,Electric Utilities
DNB,Dun & Bradstreet,Industrials,Data Processing Services
ETFC,E*Trade,Financials,Investment Banking & Brokerage
EMN,Eastman Chemical,Materials,Diversified Chemicals
ETN,Eaton Corporation,Industrials,Industrial Conglomerates
EBAY,eBay Inc.,Information Technology,Internet Software & Services
ECL,Ecolab Inc.,Materials,Specialty Chemicals
EIX,Edison Int'l,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EA,Electronic Arts,Information Technology,Home Entertainment Software
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates
ENDP,Endo International,Health Care,Pharmaceuticals
ETR,Entergy Corp.,Utilities,Electric Utilities
EVHC,Envision Healthcare Corp,Health Care,Health Care Services
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
EFX,Equifax Inc.,Financials,Diversified Financial Services
EQIX,Equinix,Real Estate,REITs
EQR,Equity Residential,Real Estate,REITs
ESS,Essex Property Trust Inc,Real Estate,Residential REITs
EL,Estee Lauder Cos.,Consumer Staples,Personal Products
ES,Eversource Energy,Utilities,MultiUtilities
EXC,Exelon Corp.,Utilities,MultiUtilities
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics
ESRX,Express Scripts,Health Care,Health Care Distributors
EXR,Extra Space Storage,Real Estate,Specialized REITs
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas
FFIV,F5 Networks,Information Technology,Networking Equipment
FB,Facebook,Information Technology,Internet Software & Services
FAST,Fastenal Co,Industrials,Building Products
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FDX,FedEx Corporation,Industrials,Air Freight & Logistics
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services
FITB,Fifth Third Bancorp,Financials,Banks
FSLR,First Solar Inc,Information Technology,Semiconductors
FE,FirstEnergy Corp,Utilities,Electric Utilities
FISV,Fiserv Inc,Information Technology,Internet Software & Services
FLIR,FLIR Systems,Industrials,Aerospace & Defense
FLS,Flowserve Corporation,Industrials,Industrial Machinery
FLR,Fluor Corp.,Industrials,Diversified Commercial Services
FMC,FMC Corporation,Materials,Diversified Chemicals
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers
FTV,Fortive Corp,Industrials,Industrial Machinery
FBHS,Fortune Brands Home & Security,Industrials,Building Products
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoran Cp & Gld,Materials,Copper
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services
GPS,Gap (The),Consumer Discretionary,Apparel Retail
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics
GD,General Dynamics,Industrials,Aerospace & Defense
GE,General Electric,Industrials,Industrial Conglomerates
GGP,General Growth Properties Inc.,Real Estate,REITs
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores
GILD,Gilead Sciences,Health Care,Biotechnology
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services
HBI,Hanesbrands Inc,Consumer Discretionary,Apparel Accessories & Luxury Goods
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics
HRS,Harris Corporation,Information Technology,Telecommunications Equipment
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products
HCA,HCA Holdings,Health Care,Health Care Facilities
HCP,HCP Inc.,Real Estate,REITs
HP,Helmerich & Payne,Energy,Oil & Gas Drilling
HES,Hess Corporation,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware Storage & Peripherals
HOLX,Hologic,Health Care,Health Care Equipment
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,Real Estate,REITs
HPQ,HP Inc.,Information Technology,Computer Hardware
HUM,Humana Inc.,Health Care,Managed Health Care
HBAN,Huntington Bancshares,Financials,Banks
ITW,Illinois Tool Works,Industrials,Industrial Machinery
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates
INTC,Intel Corp.,Information Technology,Semiconductors
ICE,Intercontinental Exchange,Financials,Diversified Financial Services
IBM,International Bus. Machines,Information Technology,IT Consulting & Other Services
IP,International Paper,Materials,Paper Packaging
IPG,Interpublic Group,Consumer Discretionary,Advertising
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals
INTU,Intuit Inc.,Information Technology,Internet Software & Services
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks
IRM,Iron Mountain Incorporated,Real Estate,REITs
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates
JBHT,J. B. Hunt Transport Services,Industrials,Trucking
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats
JNJ,Johnson & Johnson,Health Care,Health Care Equipment
JCI,Johnson Controls,Consumer Discretionary,Building Products
JPM,JPMorgan Chase & Co.,Financials,Banks
JNPR,Juniper Networks,Information Technology,Networking Equipment
KSU,Kansas City Southern,Industrials,Railroads
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats
KEY,KeyCorp,Financials,Banks
KMB,Kimberly-Clark,Consumer Staples,Household Products
KIM,Kimco Realty,Real Estate,REITs
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats
KR,Kroger Co.,Consumer Staples,Food Retail
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities
LRCX,Lam Research,Information Technology,Semiconductor Equipment
LEG,Leggett & Platt,Industrials,Industrial Conglomerates
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals
LNC,Lincoln National,Financials,Multi-line Insurance
LLTC,Linear Technology Corp.,Information Technology,Semiconductors
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense
L,Loews Corp.,Financials,Multi-Sector Holdings
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail
LYB,LyondellBasell,Materials,Diversified Chemicals
MAA,Mid-America Apartments,Real Estate,Residential REITs
MTB,M&T Bank Corp.,Financials,Banks
MAC,Macerich,Real Estate,Retail REITs
M,Macy's Inc.,Consumer Discretionary,Department Stores
MNK,Mallinckrodt Plc,Health Care,Pharmaceuticals
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation
MAR,Marriott Int'l.,Consumer Discretionary,Hotels Resorts & Cruise Lines
MMC,Marsh & McLennan,Financials,Insurance Brokers
MLM,Martin Marietta Materials,Materials,Construction Materials
MAS,Masco Corp.,Industrials,Building Products
MA,Mastercard Inc.,Information Technology,Internet Software & Services
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants
MCK,McKesson Corp.,Health Care,Health Care Distributors
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats
MDT,Medtronic plc,Health Care,Health Care Equipment
MRK,Merck & Co.,Health Care,Pharmaceuticals
MET,MetLife Inc.,Financials,Life & Health Insurance
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
KORS,Michael Kors Holdings,Consumer Discretionary,Apparel Accessories & Luxury Goods
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,Micron Technology,Information Technology,Semiconductors
MSFT,Microsoft Corp.,Information Technology,Systems Software
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals
MNST,Monster Beverage,Consumer Staples,Soft Drinks
MCO,Moody's Corp,Financials,Diversified Financial Services
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment
MUR,Murphy Oil,Energy,Integrated Oil & Gas
MYL,Mylan N.V.,Health Care,Pharmaceuticals
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services
NAVI,Navient,Financials,Consumer Finance
NTAP,NetApp,Information Technology,Internet Software & Services
NFLX,Netflix Inc.,Information Technology,Internet Software & Services
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold
NWSA,News Corp. Class A,Consumer Discretionary,Publishing
NWS,News Corp. Class B,Consumer Discretionary,Publishing
NEE,NextEra Energy,Utilities,MultiUtilities
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services
NKE,Nike,Consumer Discretionary,Apparel Accessories & Luxury Goods
NI,NiSource Inc.,Utilities,MultiUtilities
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production
JWN,Nordstrom,Consumer Discretionary,Department Stores
NSC,Norfolk Southern Corp.,Industrials,Railroads
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor Corp.,Materials,Steel
NVDA,Nvidia Corporation,Information Technology,Semiconductors
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
OMC,Omnicom Group,Consumer Discretionary,Advertising
OKE,ONEOK,Energy,Oil & Gas Exploration & Production
ORCL,Oracle Corp.,Information Technology,Application Software
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks
PH,Parker-Hannifin,Industrials,Industrial Conglomerates
PDCO,Patterson Companies,Health Care,Health Care Supplies
PAYX,Paychex Inc.,Information Technology,Internet Software & Services
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks
PKI,PerkinElmer,Health Care,Health Care Equipment
PRGO,Perrigo,Health Care,Pharmaceuticals
PFE,Pfizer Inc.,Health Care,Pharmaceuticals
PCG,PG&E Corp.,Utilities,MultiUtilities
PM,Philip Morris International,Consumer Staples,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation
PNW,Pinnacle West Capital,Utilities,MultiUtilities
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PBI,Pitney-Bowes,Industrials,Technology Hardware Software and Supplies
PNC,PNC Financial Services,Financials,Banks
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods
PPG,PPG Industries,Materials,Diversified Chemicals
PPL,PPL Corp.,Utilities,Electric Utilities
PX,Praxair Inc.,Materials,Industrial Gases
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail
PFG,Principal Financial Group,Financials,Diversified Financial Services
PG,Procter & Gamble,Consumer Staples,Personal Products
PGR,Progressive Corp.,Financials,Property & Casualty Insurance
PLD,Prologis,Real Estate,REITs
PRU,Prudential Financial,Financials,Diversified Financial Services
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities
PSA,Public Storage,Real Estate,REITs
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding
PVH,PVH Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods
QRVO,Qorvo,Information Technology,Semiconductors
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors
DGX,Quest Diagnostics,Health Care,Health Care Facilities
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production
RTN,Raytheon Co.,Industrials,Aerospace & Defense
O,Realty Income Corporation,Real Estate,REITs
RHT,Red Hat Inc.,Information Technology,Systems Software
REGN,Regeneron,Health Care,Biotechnology
RF,Regions Financial Corp.,Financials,Diversified Financial Services
RSG,Republic Services Inc,Industrials,Industrial Conglomerates
RAI,Reynolds American Inc.,Consumer Staples,Tobacco
RHI,Robert Half International,Industrials,Human Resource & Employment Services
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates
COL,Rockwell Collins,Industrials,Industrial Conglomerates
ROP,Roper Industries,Industrials,Industrial Conglomerates
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,Hotels Resorts & Cruise Lines
R,Ryder System,Industrials,Industrial Conglomerates
CRM,Salesforce.com,Information Technology,Internet Software & Services
SCG,SCANA Corp,Utilities,MultiUtilities
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals
SEE,Sealed Air,Materials,Paper Packaging
SRE,Sempra Energy,Utilities,MultiUtilities
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores
SPG,Simon Property Group Inc,Real Estate,REITs
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SLG,SL Green Realty,Real Estate,Office REITs
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances
SO,Southern Co.,Utilities,Electric Utilities
LUV,Southwest Airlines,Industrials,Airlines
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production
SE,Spectra Energy Corp,Energy,Oil & Gas Refining & Marketing & Transportation
SPGI,S&P Global Inc,Financials,Diversified Financial Services
STJ,St Jude Medical,Health Care,Health Care Equipment
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants
STT,State Street Corp.,Financials,Diversified Financial Services
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates
SYK,Stryker Corp.,Health Care,Health Care Equipment
STI,SunTrust Banks,Financials,Banks
SYMC,Symantec Corp.,Information Technology,Application Software
SYF,Synchrony Financial,Financials,Consumer Finance
SYY,Sysco Corp.,Consumer Staples,Food Distributors
TROW,T. Rowe Price Group,Financials,Diversified Financial Services
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments
TGNA,Tegna Inc,Consumer Discretionary,Publishing
TDC,Teradata Corp.,Information Technology,Application Software
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron Inc.,Industrials,Industrial Conglomerates
COO,The Cooper Companies,Health Care,Health Care Supplies
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment
TIF,Tiffany & Co.,Consumer Discretionary,Apparel Accessories & Luxury Goods
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail
TMK,Torchmark Corp.,Financials,Life & Health Insurance
TSS,Total System Services,Information Technology,Internet Software & Services
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail
TDG,TransDigm Group,Industrials,Aerospace & Defense
RIG,Transocean,Energy,Oil & Gas Drilling
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
UDR,UDR Inc,Real Estate,Residential REITs
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores
USB,U.S. Bancorp,Financials,Banks
UA,Under Armour,Consumer Discretionary,Apparel Accessories & Luxury Goods
UAA,Under Armour,Consumer Discretionary,Apparel Accessories & Luxury Goods
UNP,Union Pacific,Industrials,Railroads
UAL,United Continental Holdings,Industrials,Airlines
UNH,United Health Group Inc.,Health Care,Managed Health Care
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals Inc,Industrials,Trading Companies & Distributors
UTX,United Technologies,Industrials,Industrial Conglomerates
UHS,Universal Health Services Inc,Health Care,Health Care Facilities
UNM,Unum Group,Financials,Diversified Financial Services
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail
VFC,V.F. Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation
VAR,Varian Medical Systems,Health Care,Health Care Equipment
VTR,Ventas Inc,Real Estate,REITs
VRSN,Verisign Inc.,Information Technology,Internet Software & Services
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV
V,Visa Inc.,Information Technology,Internet Software & Services
VNO,Vornado Realty Trust,Real Estate,REITs
VMC,Vulcan Materials,Materials,Construction Materials
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
